id	verb	transitive	derived	type
205	اِسْتَعَانَ	1	مُسْتَعَانٌ	Predicate
206	اِسْتَعْبَدَ	1	مُسْتَعْبَدُ	Predicate
207	اِسْتَعْجَلَ	1	مُسْتَعْجَلٌ	Predicate
208	اِسْتَعْجَمَ	1	مُسْتَعْجَمٌ	Predicate
209	اِسْتَعْمَرَ).	1	مُسْتَعْمَرٌ	Predicate
210	اِسْتَعْمَلَ	1	مُسْتَعْمَلٌ	Predicate
211	اِسْتَغَلَّ	1	مُسْتَغَلٌّ	Predicate
212	اِسْتَقْبَلَ	1	مُسْتَقْبَلٌ	Predicate
213	اِسْتَقَرَّ	1	مُسْتَقَرٌّ	Predicate
214	اِسْتَكْشَفَ	1	مُسْتَكْشَفٌ	Predicate
215	اِسْتَلَبَ	1	مُسْتَلَبٌ	Predicate
216	اِسْتَلْزَمَ	1	مُسْتَلْزَمٌ	Predicate
217	اِسْتَمَدَّ	1	مُسْتَمَدٌّ	Predicate
218	اِسْتَمْطَرَ	1	مُسْتَمْطَرٌ	Predicate
219	اِسْتَمْلَحَ	1	مُسْتَمْلَحٌ	Predicate
220	اِسْتَنْبَتَ	1	مُسْتَنْبَتٌ	Predicate
221	اِسْتَنْجَعَ	1	مُسْتَنْجَعٌ	Predicate
222	اِسْتَنَدَ	1	مُسْتَنَدٌ	Predicate
223	اِسْتَنْزَفَ	1	مُسْتَنْزَفٌ	Predicate
224	اِسْتَنْسَخَ	1	مُسْتَنْسَخٌ	Predicate
225	اِسْتَنْشَقَ	1	مُسْتَنْشَقٌ	Predicate
226	اِسْتَنْفَرَ	1	مُسْتَنْفَرٌ	Predicate
227	اِسْتَنْقَعَ	1	مُسْتَنْقَعٌ	Predicate
228	اِسْتَنْكَرَ	1	مُسْتَنْكَرٌ	Predicate
229	اِسْتَهْجَنَ	1	مُسْتَهْجَنٌ	Predicate
230	اِسْتَهَلَّ	1	مُسْتَهَلٌّ	Predicate
231	اِسْتَهْلَكَ	1	مُسْتَهْلَكٌ	Predicate
232	اِسْتَوْدَعَ	1	مُسْتَوْدَعٌ	Predicate
233	اِسْتَوْرَدَ	1	مُسْتَوْرَدٌ	Predicate
234	اِسْتَوْصَفَ	1	مُسْتَوْصَفٌ	Predicate
235	اِسْتَوْلَى	1	مُسْتَوْلَى	Predicate
236	اِسْتَوَى	1	مُسْتَوى	Predicate
237	اِشْتَبَهَ	1	مُشْتَبَهٌ	Predicate
238	اِشْتَرَكَ	1	مُشْتَرَكٌ	Predicate
